transcript_id	gene_id	gene_name	type	gene_id.short	transcript_id.short	has_geneQTL	has_isofQTL	class	shared_isof	distinct_isof	subclass
ENSG00000250575.1	ENSG00000250575.1	RP4-669L17.8	gene	ENSG00000250575	ENSG00000250575	TRUE	FALSE	eGene only	FALSE	FALSE	N/A
ENSG00000187961.14_6	ENSG00000187961.14_6	KLHL17	gene	ENSG00000187961	ENSG00000187961	FALSE	TRUE	eIsof only	FALSE	FALSE	N/A
ENSG00000272512.1_6	ENSG00000272512.1_6	AL645608.7	gene	ENSG00000272512	ENSG00000272512	TRUE	FALSE	eGene only	FALSE	FALSE	N/A
ENSG00000188290.11_5	ENSG00000188290.11_5	HES4	gene	ENSG00000188290	ENSG00000188290	FALSE	TRUE	eIsof only	FALSE	FALSE	N/A
ENSG00000188157.15_6	ENSG00000188157.15_6	AGRN	gene	ENSG00000188157	ENSG00000188157	FALSE	TRUE	eIsof only	FALSE	FALSE	N/A
ENSG00000217801.10_7	ENSG00000217801.10_7	AL390719.1	gene	ENSG00000217801	ENSG00000217801	FALSE	TRUE	eIsof only	FALSE	FALSE	N/A
ENSG00000131591.17_10	ENSG00000131591.17_10	C1orf159	gene	ENSG00000131591	ENSG00000131591	FALSE	TRUE	eIsof only	FALSE	FALSE	N/A
ENSG00000176022.7_8	ENSG00000176022.7_8	B3GALT6	gene	ENSG00000176022	ENSG00000176022	TRUE	FALSE	eGene only	FALSE	FALSE	N/A
ENSG00000224051.7_4	ENSG00000224051.7_4	CPTP	gene	ENSG00000224051	ENSG00000224051	TRUE	FALSE	eGene only	FALSE	FALSE	N/A
ENSG00000224870.7_8	ENSG00000224870.7_8	MRPL20-AS1	gene	ENSG00000224870	ENSG00000224870	FALSE	TRUE	eIsof only	FALSE	FALSE	N/A
ENSG00000242485.6_5	ENSG00000242485.6_5	MRPL20	gene	ENSG00000242485	ENSG00000242485	TRUE	FALSE	eGene only	FALSE	FALSE	N/A
ENSG00000235098.8_5	ENSG00000235098.8_5	ANKRD65	gene	ENSG00000235098	ENSG00000235098	TRUE	FALSE	eGene only	FALSE	FALSE	N/A
ENSG00000225285.1_7	ENSG00000225285.1_7	LINC01770	gene	ENSG00000225285	ENSG00000225285	FALSE	TRUE	eIsof only	FALSE	FALSE	N/A
ENSG00000179403.12_6	ENSG00000179403.12_6	VWA1	gene	ENSG00000179403	ENSG00000179403	TRUE	FALSE	eGene only	FALSE	FALSE	N/A
